id,text,label
0,Saya sangat senang dengan produk ini,positive
1,Film ini sangat membosankan dan buruk,negative
2,Makanan di restoran itu biasa saja,neutral
3,Pelayanan yang luar biasa memuaskan,positive
4,Sangat kecewa dengan kualitas barang,negative
5,Harga cukup wajar untuk kualitas ini,neutral
6,Tempat yang indah untuk berlibur,positive
7,Aplikasi ini sulit digunakan,negative
8,Tidak ada yang istimewa dari produk ini,neutral
9,Pengalaman berbelanja yang menyenangkan,positive
10,Saya sangat senang dengan produk ini,positive
11,Film ini sangat membosankan dan buruk,negative
12,Makanan di restoran itu biasa saja,neutral
13,Pelayanan yang luar biasa memuaskan,positive
14,Sangat kecewa dengan kualitas barang,negative
15,Harga cukup wajar untuk kualitas ini,neutral
16,Tempat yang indah untuk berlibur,positive
17,Aplikasi ini sulit digunakan,negative
18,Tidak ada yang istimewa dari produk ini,neutral
19,Pengalaman berbelanja yang menyenangkan,positive
20,Saya sangat senang dengan produk ini,positive
21,Film ini sangat membosankan dan buruk,negative
22,Makanan di restoran itu biasa saja,neutral
23,Pelayanan yang luar biasa memuaskan,positive
24,Sangat kecewa dengan kualitas barang,negative
25,Harga cukup wajar untuk kualitas ini,neutral
26,Tempat yang indah untuk berlibur,positive
27,Aplikasi ini sulit digunakan,negative
28,Tidak ada yang istimewa dari produk ini,neutral
29,Pengalaman berbelanja yang menyenangkan,positive
30,Saya sangat senang dengan produk ini,positive
31,Film ini sangat membosankan dan buruk,negative
32,Makanan di restoran itu biasa saja,neutral
33,Pelayanan yang luar biasa memuaskan,positive
34,Sangat kecewa dengan kualitas barang,negative
35,Harga cukup wajar untuk kualitas ini,neutral
36,Tempat yang indah untuk berlibur,positive
37,Aplikasi ini sulit digunakan,negative
38,Tidak ada yang istimewa dari produk ini,neutral
39,Pengalaman berbelanja yang menyenangkan,positive
40,Saya sangat senang dengan produk ini,positive
41,Film ini sangat membosankan dan buruk,negative
42,Makanan di restoran itu biasa saja,neutral
43,Pelayanan yang luar biasa memuaskan,positive
44,Sangat kecewa dengan kualitas barang,negative
45,Harga cukup wajar untuk kualitas ini,neutral
46,Tempat yang indah untuk berlibur,positive
47,Aplikasi ini sulit digunakan,negative
48,Tidak ada yang istimewa dari produk ini,neutral
49,Pengalaman berbelanja yang menyenangkan,positive
50,Saya sangat senang dengan produk ini,positive
51,Film ini sangat membosankan dan buruk,negative
52,Makanan di restoran itu biasa saja,neutral
53,Pelayanan yang luar biasa memuaskan,positive
54,Sangat kecewa dengan kualitas barang,negative
55,Harga cukup wajar untuk kualitas ini,neutral
56,Tempat yang indah untuk berlibur,positive
57,Aplikasi ini sulit digunakan,negative
58,Tidak ada yang istimewa dari produk ini,neutral
59,Pengalaman berbelanja yang menyenangkan,positive
60,Saya sangat senang dengan produk ini,positive
61,Film ini sangat membosankan dan buruk,negative
62,Makanan di restoran itu biasa saja,neutral
63,Pelayanan yang luar biasa memuaskan,positive
64,Sangat kecewa dengan kualitas barang,negative
65,Harga cukup wajar untuk kualitas ini,neutral
66,Tempat yang indah untuk berlibur,positive
67,Aplikasi ini sulit digunakan,negative
68,Tidak ada yang istimewa dari produk ini,neutral
69,Pengalaman berbelanja yang menyenangkan,positive
70,Saya sangat senang dengan produk ini,positive
71,Film ini sangat membosankan dan buruk,negative
72,Makanan di restoran itu biasa saja,neutral
73,Pelayanan yang luar biasa memuaskan,positive
74,Sangat kecewa dengan kualitas barang,negative
75,Harga cukup wajar untuk kualitas ini,neutral
76,Tempat yang indah untuk berlibur,positive
77,Aplikasi ini sulit digunakan,negative
78,Tidak ada yang istimewa dari produk ini,neutral
79,Pengalaman berbelanja yang menyenangkan,positive
80,Saya sangat senang dengan produk ini,positive
81,Film ini sangat membosankan dan buruk,negative
82,Makanan di restoran itu biasa saja,neutral
83,Pelayanan yang luar biasa memuaskan,positive
84,Sangat kecewa dengan kualitas barang,negative
85,Harga cukup wajar untuk kualitas ini,neutral
86,Tempat yang indah untuk berlibur,positive
87,Aplikasi ini sulit digunakan,negative
88,Tidak ada yang istimewa dari produk ini,neutral
89,Pengalaman berbelanja yang menyenangkan,positive
90,Saya sangat senang dengan produk ini,positive
